TotalSF,LotArea,BedroomAbvGr,SalePrice
1710,8450,3,208500
1262,9600,3,181500
1786,11250,3,223500
1717,9550,3,140000
2198,14260,4,250000
1362,14115,1,143000
1694,10084,3,307000
2090,10382,3,200000
1774,6120,2,129900
1077,7420,2,118000
1040,11200,3,129500
2324,11924,4,345000
912,12968,2,144000
1494,10652,3,279500
1253,10920,2,157000
854,6120,2,132000
1004,11241,2,149000
1296,10791,2,90000
1114,13695,3,159000
1339,7560,3,139000
2376,14215,4,325300
1108,7449,3,139400
1795,9742,3,230000
1060,4224,3,129900
1060,8246,3,154000
1600,14230,3,256300
900,7200,3,134800
1704,11478,3,306000
1600,16321,2,207500
520,6324,1,68500
1317,8500,3,40000
1228,8544,3,149350
1234,11049,3,179900
1700,10552,4,165500
1561,7313,2,277500
2452,13418,4,309000
1097,10859,3,145000
1297,8532,3,153000
1057,7922,3,109000
1152,6040,2,82000
1324,8658,3,160000
1328,16905,2,170000
884,9180,2,144000
938,9200,3,130250
1150,7945,3,141000
1752,7658,2,319900
2149,12822,1,239686
1656,11096,3,249700
1452,4456,2,113000
955,7742,3,127000
1470,13869,3,177000
816,6240,3,114500
816,8472,2,110000
1842,50271,0,385000
1360,7134,3,130000
1425,10175,3,180500
1739,2645,3,172500
1720,11645,3,196500
2945,13682,3,438780
780,7200,2,124900
1158,13072,3,158000
1111,7200,3,101000
1370,6442,2,202500
1710,10300,3,140000
2034,9375,3,219500
2473,9591,4,317000
2207,19900,3,180000
1479,10665,3,226000
747,4608,2,80000
2287,15593,3,225000
2223,13651,3,244000
845,7599,2,129500
1718,10141,3,185000
1086,10200,3,144900
1605,5790,3,107400
988,1596,2,91000
952,8475,2,135750
1285,8635,2,127000
1768,10778,4,136500
1230,10440,2,110000
2142,13000,4,193500
1337,4500,2,153500
1563,10206,3,245000
1065,8892,3,126500
1474,8530,3,168500
2417,16059,4,260000
1560,11911,3,174000
1224,3951,2,164500
1013,8470,2,85000
990,8070,3,123600
1040,7200,2,109900
1235,8500,2,98600
964,13360,2,163500
2291,7200,4,133900
1786,9337,3,204750
1470,9765,3,185000
1588,10264,3,214000
960,10921,3,94750
835,10625,2,83000
1225,9320,3,128950
1610,10603,3,205000
1732,9206,3,178000
1535,7018,4,118964
1226,10402,3,198900
1818,7758,4,169500
1992,9375,3,250000
1047,10800,2,100000
789,6000,2,115000
1517,8500,3,115000
1844,11751,3,190000
1855,9525,4,136900
1430,7750,3,180000
2696,9965,4,383970
2259,21000,3,217000
2320,7259,3,259500
1458,3230,2,176000
1092,11616,3,139000
1125,8536,2,155000
3222,12376,5,320000
1456,8461,3,163990
988,21453,1,180000
1123,6060,3,100000
1080,9464,3,136000
1199,7892,2,153900
1586,17043,3,181000
520,6780,2,84500
958,4928,2,128000
840,4388,3,87000
1348,7590,3,155000
1053,8973,3,150000
2157,14200,4,226000
2054,12224,3,244000
1327,7388,3,150750
1296,6853,2,220000
1721,10335,3,180000
